domanialite,arrondissement,libelle_francais,genre,espece,circonference_cm,hauteur_m,stade_de_developpement
1,6,7,7,7,155.0,10.0,3
1,4,2,2,8,150.0,15.0,3
1,4,14,14,5,75.0,7.0,3
2,4,5,5,5,90.0,15.0,3
2,5,5,5,5,176.0,18.0,3
1,6,187,18,259,75.0,10.0,3
1,5,4,4,4,45.0,7.0,1
1,23,4,4,4,180.0,20.0,3
1,5,7,7,7,102.0,8.0,3
2,6,2,2,2,175.0,13.0,3
5,7,10,10,12,130.0,15.0,3
3,19,10,10,12,143.0,14.0,3
1,6,18,17,21,135.0,15.0,3
3,16,2,2,2,225.0,25.0,4
1,7,25,24,31,20.0,5.0,1
1,11,5,5,43,165.0,17.0,3
1,8,4,4,4,70.0,8.0,2
1,11,41,38,11,13.0,8.0,1
3,19,2,2,2,210.0,25.0,4
1,8,19,18,22,50.0,6.0,2
1,12,7,7,7,95.0,12.0,3
1,8,4,4,4,70.0,12.0,2
1,12,19,18,22,65.0,8.0,2
1,8,7,7,7,20.0,5.0,1
1,5,19,18,22,55.0,8.0,3
1,10,8,8,10,72.0,10.0,2
2,7,28,27,50,205.0,9.0,3
1,8,6,6,9,70.0,10.0,1
1,1,4,4,4,80.0,8.0,1
1,3,4,4,4,50.0,5.0,2
1,8,19,18,22,40.0,4.0,1
1,10,187,28,424,35.0,5.0,1
1,4,4,4,4,55.0,10.0,3
2,5,2,2,2,244.0,26.0,4
1,7,5,5,5,155.0,15.0,3
4,5,113,96,189,20.0,2.0,1
3,1,10,10,12,110.0,10.0,2
2,11,6,6,9,265.0,20.0,4
1,8,1,1,16,80.0,6.0,3
1,5,7,7,7,69.0,10.0,2
1,10,8,8,10,58.0,9.0,3
3,7,37,92,18,115.0,8.0,3
1,23,4,4,4,80.0,10.0,2
1,5,2,2,2,72.0,10.0,2
1,15,4,4,4,80.0,10.0,3
1,14,7,7,7,80.0,5.0,2
2,8,1,1,41,25.0,3.0,1
1,2,2,2,2,118.0,10.0,3
2,13,7,7,7,40.0,6.0,1
6,8,9,9,45,95.0,8.0,2
1,7,4,4,4,145.0,15.0,3
1,3,8,8,10,55.0,5.0,3
2,11,6,6,9,120.0,17.0,3
2,8,6,6,9,20.0,4.0,1
1,4,4,4,4,160.0,17.0,3
1,10,8,8,10,82.0,8.0,3
3,16,1,1,1,160.0,15.0,3
1,18,7,7,7,70.0,10.0,2
3,13,1,1,16,107.0,8.0,2
1,13,19,18,22,52.0,7.0,2
1,18,7,7,7,75.0,10.0,2
1,5,23,22,50,31.0,6.0,1
1,5,7,7,7,96.0,6.0,3
2,2,2,2,2,263.0,23.0,4
1,3,4,4,4,105.0,10.0,3
1,18,41,38,11,65.0,6.0,2
1,12,19,18,22,60.0,7.0,3
1,8,2,2,2,50.0,8.0,1
2,13,52,20,125,30.0,2.0,3
1,5,6,6,30,54.0,5.0,2
1,6,23,22,80,165.0,20.0,3
1,17,7,7,7,55.0,7.0,1
2,11,1,1,16,40.0,7.0,1
1,5,2,2,2,75.0,10.0,2
1,8,4,4,28,85.0,15.0,2
2,13,59,51,75,64.0,6.0,2
1,5,5,5,29,54.0,8.0,2
1,13,18,17,21,52.0,6.0,3
1,8,18,17,21,80.0,10.0,2
1,6,73,61,98,50.0,7.0,3
1,14,4,4,4,250.0,20.0,3
1,12,1,1,16,70.0,12.0,3
1,17,4,4,4,177.0,15.0,3
2,5,39,36,48,113.0,4.0,3
3,19,24,23,26,84.0,8.0,3
1,12,93,57,59,45.0,8.0,3
1,2,2,2,2,183.0,18.0,3
1,8,44,40,53,35.0,8.0,1
1,3,2,2,14,110.0,10.0,3
1,12,41,38,11,45.0,8.0,2
1,13,19,18,22,65.0,8.0,2
1,17,19,18,22,69.0,9.0,2
1,2,2,2,2,103.0,11.0,3
1,17,4,4,4,140.0,14.0,3
1,8,5,5,5,95.0,12.0,3
2,5,20,19,23,61.0,4.0,2
2,5,69,58,93,83.0,5.0,2
1,12,4,4,4,115.0,18.0,3
1,12,4,4,4,130.0,15.0,3
2,7,8,8,10,35.0,5.0,1
3,7,3,3,3,180.0,12.0,3
1,6,5,5,29,95.0,16.0,3
1,8,52,20,122,60.0,7.0,2
1,6,4,4,4,155.0,16.0,3
1,12,2,2,2,90.0,10.0,3
2,8,83,72,113,35.0,3.0,1
1,1,4,4,4,190.0,20.0,3
5,9,43,39,97,80.0,13.0,2
1,7,5,5,29,55.0,5.0,2
2,3,187,25,424,40.0,5.0,3
1,4,18,17,21,110.0,11.0,3
3,24,2,2,2,64.0,5.0,2
3,7,1,1,1,85.0,12.0,3
1,8,18,17,21,115.0,15.0,3
1,13,5,5,29,133.0,10.0,3
1,6,7,7,7,65.0,10.0,1
2,11,6,6,9,150.0,20.0,3
1,1,7,7,7,85.0,7.0,2
1,8,1,1,55,20.0,2.0,1
4,7,1,1,109,105.0,12.0,3
5,7,23,22,50,290.0,20.0,3
5,8,18,17,21,10.0,10.0,2
1,15,7,7,7,80.0,10.0,2
6,9,21,20,24,10.0,2.0,1
1,5,2,2,2,120.0,15.0,3
1,3,4,4,4,95.0,10.0,3
1,7,5,5,29,50.0,6.0,2
1,12,14,14,5,115.0,10.0,3
1,10,2,2,2,120.0,18.0,3
1,5,4,4,4,206.0,20.0,3
2,2,43,39,83,45.0,8.0,2
1,5,2,2,2,117.0,20.0,3
6,3,2,2,2,155.0,12.0,3
1,5,4,4,4,113.0,12.0,3
2,21,2,2,2,260.0,24.0,4
1,20,4,4,4,175.0,22.0,3
1,2,4,4,4,133.0,17.0,3
6,1,20,19,23,40.0,5.0,1
1,1,7,7,7,110.0,10.0,2
2,14,30,18,36,10.0,3.0,1
1,8,4,4,18,135.0,15.0,3
6,3,4,4,4,65.0,6.0,2
3,17,2,2,2,181.0,17.0,3
5,19,1,1,16,130.0,8.0,2
1,8,44,40,53,20.0,5.0,1
7,8,2,2,2,100.0,10.0,2
1,11,2,2,2,130.0,10.0,3
1,13,24,23,26,60.0,8.0,2
2,7,5,5,5,115.0,14.0,3
2,17,27,26,95,92.0,14.0,3
2,5,26,25,40,82.0,5.0,3
1,12,5,5,27,40.0,8.0,2
1,4,4,4,28,70.0,15.0,2
1,1,7,7,7,60.0,6.0,1
3,19,5,5,5,202.0,21.0,4
4,5,1,1,41,20.0,2.0,1
1,13,22,21,25,67.0,14.0,2
1,17,4,4,4,151.0,18.0,3
1,18,5,5,5,90.0,10.0,3
6,17,1,1,15,84.0,14.0,3
4,13,22,21,25,55.0,8.0,3
3,1,6,6,9,75.0,8.0,1
1,11,4,4,4,85.0,17.0,2
6,7,26,25,40,60.0,5.0,2
2,11,1,1,16,110.0,18.0,3
5,8,18,17,21,10.0,8.0,2
2,12,26,25,107,25.0,3.0,1
6,23,1,1,41,15.0,3.0,1
1,8,7,7,7,50.0,6.0,2
1,5,7,7,7,89.0,10.0,3
1,12,53,47,71,120.0,12.0,3
1,4,4,4,28,125.0,14.0,3
2,7,49,25,63,25.0,4.0,1
3,16,4,4,18,219.0,28.0,3
1,5,5,5,5,115.0,18.0,3
5,13,5,5,5,267.0,23.0,4
2,11,25,24,31,120.0,20.0,3
2,11,15,15,14,5.0,2.0,1
1,2,2,2,2,146.0,16.0,3
2,18,12,12,14,15.0,1.0,1
3,24,5,5,43,55.0,6.0,2
1,4,2,2,8,55.0,8.0,3
1,11,4,4,4,130.0,18.0,3
3,16,2,2,2,195.0,25.0,3
1,2,29,28,14,100.0,10.0,3
1,6,13,13,17,20.0,4.0,1
1,6,4,4,4,250.0,25.0,4
2,17,39,36,60,150.0,11.0,3
4,13,9,9,11,63.0,5.0,3
1,18,5,5,5,95.0,10.0,3
1,3,5,5,43,180.0,15.0,3
1,8,5,5,5,120.0,17.0,3
2,11,22,21,25,45.0,14.0,2
1,17,4,4,4,95.0,12.0,3
1,3,2,2,8,30.0,5.0,1
1,12,19,18,22,45.0,7.0,3
1,20,4,4,4,47.0,5.0,1
1,5,7,7,7,120.0,15.0,3
1,8,8,8,10,10.0,10.0,3
3,17,2,2,8,51.0,5.0,1
1,10,4,4,18,73.0,12.0,2
4,5,15,15,19,20.0,2.0,1
2,4,5,5,5,30.0,6.0,1
1,4,4,4,4,55.0,10.0,2
1,5,4,4,4,147.0,18.0,3
1,25,4,4,18,300.0,20.0,3
1,12,7,7,7,70.0,10.0,3
1,8,14,14,5,75.0,10.0,2
1,3,5,5,5,60.0,5.0,3
1,12,19,18,22,40.0,7.0,3
2,4,5,5,14,120.0,12.0,3
1,8,10,10,73,35.0,5.0,1
2,7,25,24,31,165.0,15.0,3
1,10,2,2,2,135.0,15.0,3
2,3,9,9,33,95.0,10.0,2
1,12,19,18,22,30.0,5.0,1
1,10,5,5,27,75.0,6.0,3
1,22,4,4,4,150.0,22.0,3
1,5,7,7,7,29.0,5.0,1
1,12,18,17,21,36.0,6.0,1
1,11,41,38,11,85.0,11.0,1
2,4,5,5,29,140.0,13.0,3
1,8,7,7,7,55.0,8.0,2
1,5,2,2,2,92.0,10.0,3
1,12,2,2,2,80.0,10.0,3
2,6,30,18,36,20.0,4.0,1
3,16,21,20,24,20.0,5.0,1
3,7,10,10,14,70.0,10.0,3
1,8,4,4,28,95.0,15.0,3
3,1,41,38,11,80.0,9.0,2
1,3,4,4,4,100.0,10.0,3
1,13,7,7,7,57.0,7.0,1
1,12,4,4,4,55.0,8.0,2
2,17,187,87,424,23.0,3.0,2
2,11,60,52,76,170.0,18.0,3
3,13,5,5,27,25.0,4.0,1
3,7,37,34,14,35.0,7.0,3
1,1,2,2,8,65.0,6.0,1
1,4,4,4,28,40.0,8.0,1
3,13,1,1,16,133.0,12.0,3
3,7,2,2,8,65.0,5.0,3
2,5,46,42,56,55.0,5.0,2
1,12,1,1,70,80.0,8.0,3
6,1,18,17,21,65.0,5.0,1
1,10,8,8,10,39.0,7.0,2
1,13,59,51,75,175.0,18.0,4
2,17,27,26,34,35.0,5.0,1
1,12,7,7,7,100.0,12.0,3
1,4,5,5,5,30.0,5.0,2
1,15,4,4,4,190.0,20.0,3
2,13,4,4,4,195.0,15.0,3
1,8,65,56,88,20.0,5.0,1
6,12,70,59,14,125.0,11.0,2
4,3,16,10,20,55.0,4.0,2
1,1,7,7,7,65.0,10.0,1
7,6,7,7,7,105.0,12.0,3
2,15,22,21,25,35.0,9.0,1
1,6,5,5,5,90.0,15.0,3
1,2,4,4,4,192.0,17.0,3
2,17,78,25,102,25.0,5.0,1
1,9,4,4,4,158.0,16.0,3
1,17,18,17,21,150.0,10.0,3
1,4,5,5,14,50.0,8.0,2
1,6,8,8,10,55.0,10.0,2
1,17,23,22,11,107.0,14.0,2
2,9,47,44,62,8.0,2.0,1
1,17,65,56,88,82.0,10.0,3
1,7,4,4,4,90.0,12.0,2
2,5,1,1,16,126.0,15.0,3
2,13,1,1,70,80.0,8.0,2
1,18,18,17,21,85.0,10.0,2
2,7,27,26,34,55.0,6.0,2
1,23,65,56,88,110.0,10.0,3
3,24,47,43,57,20.0,8.0,2
1,8,59,51,75,170.0,12.0,3
6,13,30,18,36,5.0,1.0,1
1,4,4,4,28,140.0,18.0,3
1,4,4,4,4,20.0,5.0,1
1,25,5,5,29,65.0,5.0,3
1,6,7,7,7,190.0,20.0,3
1,17,29,28,14,98.0,12.0,3
1,3,2,2,14,80.0,5.0,3
6,17,21,20,24,10.0,1.0,1
3,7,2,2,2,50.0,9.0,3
2,5,11,11,53,201.0,11.0,4
2,18,5,5,43,75.0,10.0,3
1,13,55,33,79,25.0,4.0,1
1,20,18,17,21,50.0,5.0,2
2,7,10,10,12,160.0,15.0,3
1,2,4,4,4,102.0,14.0,3
3,16,5,5,29,195.0,20.0,3
2,7,29,28,424,95.0,15.0,3
1,7,22,21,25,120.0,12.0,3
2,4,27,26,95,70.0,6.0,1
3,7,10,10,14,65.0,6.0,2
1,1,2,2,2,100.0,10.0,2
1,4,5,5,5,175.0,14.0,3
1,11,41,38,11,75.0,11.0,1
2,5,47,44,134,98.0,14.0,2
1,17,4,4,4,145.0,15.0,3
1,12,2,2,2,80.0,10.0,3
1,10,2,2,2,30.0,5.0,2
1,5,2,2,2,84.0,10.0,2
1,20,4,4,4,68.0,10.0,2
1,17,5,5,14,30.0,5.0,1
2,11,6,6,9,160.0,19.0,3
2,4,4,4,4,285.0,22.0,4
2,11,24,23,26,15.0,3.0,1
2,11,1,1,1,30.0,5.0,1
2,3,6,6,9,150.0,15.0,3
2,8,7,7,7,20.0,2.0,1
2,11,23,22,11,170.0,20.0,3
1,6,2,2,8,40.0,5.0,1
2,25,18,17,28,60.0,5.0,2
1,8,5,5,5,85.0,10.0,3
4,5,7,7,7,100.0,10.0,3
1,10,1,1,15,42.0,7.0,2
1,7,22,21,25,95.0,12.0,3
1,6,4,4,18,65.0,10.0,1
1,2,4,4,18,157.0,15.0,3
2,13,22,21,25,135.0,8.0,3
1,2,2,2,2,100.0,14.0,3
1,5,2,2,2,105.0,14.0,3
6,7,1,1,15,80.0,8.0,3
1,5,2,2,2,138.0,13.0,3
1,3,4,4,4,280.0,15.0,3
1,11,42,25,14,50.0,8.0,1
1,12,1,1,15,60.0,8.0,3
2,7,2,2,8,80.0,12.0,3
1,2,2,2,2,190.0,25.0,3
1,13,7,7,7,80.0,10.0,2
3,17,2,2,2,175.0,15.0,3
1,5,5,5,5,40.0,5.0,2
1,4,4,4,28,130.0,15.0,3
1,5,59,51,75,90.0,10.0,3
1,12,2,2,2,55.0,8.0,3
1,8,5,5,29,67.0,9.0,3
1,18,4,4,4,160.0,20.0,3
1,8,50,45,66,110.0,12.0,3
2,11,49,25,63,40.0,6.0,1
3,19,2,2,2,215.0,20.0,4
1,10,1,1,15,22.0,6.0,1
6,3,2,2,2,135.0,15.0,3
2,15,56,20,14,48.0,4.0,2
2,13,38,35,14,140.0,12.0,3
1,13,4,4,4,45.0,7.0,1
1,8,4,4,28,195.0,20.0,4
1,8,29,28,424,20.0,2.0,1
2,3,36,33,86,15.0,3.0,1
1,1,4,4,4,55.0,5.0,1
3,13,132,110,42,10.0,1.0,1
3,19,1,1,1,155.0,6.0,3
1,11,6,6,14,50.0,10.0,1
2,4,5,5,14,125.0,12.0,3
1,1,4,4,4,65.0,7.0,1
1,3,7,7,7,145.0,15.0,3
2,17,1,1,109,111.0,8.0,3
2,1,6,6,155,88.0,9.0,3
1,17,1,1,16,31.0,4.0,1
1,2,4,4,4,100.0,16.0,3
1,11,2,2,14,155.0,18.0,3
7,8,4,4,4,165.0,14.0,3
1,7,4,4,4,145.0,10.0,3
2,8,20,19,23,20.0,4.0,1
1,7,52,20,81,45.0,5.0,2
2,17,2,2,2,273.0,18.0,4
3,5,47,44,62,60.0,9.0,2
2,8,26,25,107,20.0,4.0,1
1,12,4,4,4,80.0,10.0,3
1,1,4,4,4,80.0,10.0,1
3,16,67,25,90,80.0,5.0,2
1,11,5,5,5,180.0,15.0,4
1,3,8,8,10,85.0,10.0,3
2,11,9,9,11,90.0,12.0,3
2,11,2,2,2,320.0,22.0,3
6,13,2,2,2,142.0,14.0,3
2,5,2,2,2,283.0,20.0,4
3,19,2,2,2,181.0,15.0,3
1,12,8,8,10,80.0,10.0,3
1,15,28,27,50,105.0,5.0,3
1,2,2,2,2,100.0,11.0,3
3,7,1,1,70,70.0,8.0,3
7,4,5,5,14,120.0,12.0,3
1,8,2,2,8,45.0,5.0,2
1,8,50,45,66,65.0,6.0,2
1,12,53,47,71,65.0,8.0,2
5,19,39,36,48,10.0,3.0,1
2,11,2,2,2,175.0,18.0,2
1,1,5,5,78,60.0,6.0,2
1,5,2,2,2,80.0,13.0,2
1,25,4,4,4,55.0,5.0,2
1,5,1,1,1,71.0,7.0,3
2,18,5,5,43,75.0,10.0,3
1,8,2,2,2,50.0,6.0,2
1,2,18,17,21,66.0,7.0,3
1,2,2,2,2,121.0,11.0,3
6,1,21,20,24,10.0,1.0,1
1,12,4,4,4,195.0,18.0,3
1,4,5,5,5,90.0,10.0,3
1,13,4,4,4,45.0,7.0,1
1,12,19,18,22,80.0,8.0,3
1,2,5,5,5,103.0,13.0,3
1,2,2,2,2,178.0,16.0,3
1,8,6,6,30,45.0,5.0,1
1,1,7,7,7,130.0,10.0,2
1,1,4,4,4,210.0,20.0,4
1,12,1,1,16,85.0,8.0,3
2,25,6,6,30,50.0,5.0,2
6,6,35,32,44,95.0,9.0,3
3,19,2,2,8,28.0,4.0,1
7,8,5,5,14,130.0,18.0,3
1,13,2,2,8,128.0,10.0,3
3,7,2,2,2,40.0,7.0,2
1,11,5,5,5,40.0,5.0,1
2,1,1,1,1,35.0,5.0,2
1,4,4,4,28,90.0,12.0,3
1,11,4,4,4,160.0,18.0,3
6,13,2,2,2,120.0,12.0,3
5,3,1,1,1,150.0,10.0,3
1,10,2,2,2,60.0,8.0,2
2,11,6,6,64,20.0,4.0,1
1,1,4,4,4,120.0,12.0,2
1,5,2,2,2,76.0,8.0,2
1,13,44,40,53,43.0,6.0,1
1,12,5,5,27,65.0,10.0,3
1,17,4,4,4,105.0,12.0,4
2,11,6,6,9,100.0,20.0,3
5,13,24,23,26,65.0,4.0,2
1,12,4,4,4,95.0,15.0,3
1,5,59,51,75,90.0,7.0,3
2,12,4,4,18,195.0,18.0,3
1,5,1,1,1,77.0,10.0,3
1,22,4,4,4,50.0,8.0,2
1,8,1,1,1,70.0,8.0,3
1,8,4,4,28,80.0,12.0,3
1,18,18,17,21,60.0,5.0,2
1,7,4,4,4,50.0,7.0,2
1,12,1,1,16,95.0,12.0,3
1,8,12,12,14,30.0,4.0,1
1,8,2,2,2,70.0,10.0,2
1,6,4,4,4,55.0,5.0,2
1,4,4,4,4,90.0,15.0,3
5,8,1,1,16,115.0,15.0,3
2,5,25,24,31,199.0,13.0,3
1,21,4,4,4,165.0,17.0,3
1,6,4,4,18,65.0,15.0,2
1,4,5,5,5,114.0,10.0,3
1,5,4,4,4,185.0,19.0,3
1,2,2,2,2,33.0,6.0,1
4,5,10,10,12,45.0,7.0,1
7,7,37,34,166,105.0,12.0,3
1,8,18,17,21,95.0,12.0,3
1,1,4,4,4,95.0,10.0,2
1,8,5,5,5,80.0,8.0,2
1,15,4,4,4,180.0,15.0,3
2,17,2,2,2,145.0,12.0,3
1,8,1,1,41,30.0,4.0,1
1,8,4,4,28,100.0,16.0,3
6,17,4,4,4,200.0,20.0,3
1,1,4,4,4,80.0,10.0,1
3,17,29,28,424,77.0,10.0,2
1,7,5,5,5,105.0,10.0,3
2,11,6,6,14,170.0,20.0,3
1,4,5,5,14,65.0,7.0,3
1,12,5,5,27,90.0,10.0,3
1,11,187,10,424,140.0,14.0,3
1,3,4,4,4,100.0,15.0,3
2,13,24,23,26,95.0,17.0,3
1,7,4,4,4,90.0,10.0,3
2,5,148,123,291,50.0,4.0,1
1,25,1,1,14,95.0,10.0,3
6,7,18,17,21,50.0,6.0,2
6,6,1,1,1,85.0,10.0,2
1,4,2,2,2,110.0,12.0,3
2,13,11,11,53,145.0,12.0,2
1,13,53,47,71,73.0,10.0,2
1,12,8,8,10,50.0,7.0,2
2,2,11,11,53,190.0,13.0,3
1,17,5,5,5,77.0,9.0,3
1,23,4,4,4,100.0,12.0,3
1,8,24,23,26,70.0,13.0,3
1,12,15,15,19,95.0,6.0,2
1,5,4,4,4,213.0,21.0,4
1,2,2,2,2,104.0,10.0,3
1,17,7,7,7,127.0,11.0,3
3,19,95,80,141,89.0,9.0,2
1,10,2,2,2,40.0,6.0,2
3,7,10,10,14,80.0,10.0,3
1,5,1,1,16,53.0,10.0,3
1,3,2,2,14,180.0,10.0,3
2,13,2,2,2,220.0,18.0,3
1,4,4,4,28,20.0,5.0,1
3,17,2,2,2,186.0,15.0,3
2,8,1,1,15,81.0,15.0,3
1,6,35,32,44,50.0,5.0,1
3,7,2,2,2,175.0,20.0,3
1,22,2,2,8,30.0,6.0,1
1,15,23,22,14,125.0,20.0,3
2,3,9,9,45,135.0,10.0,3
1,5,2,2,2,67.0,13.0,2
1,25,4,4,4,75.0,10.0,2
1,11,187,10,424,90.0,10.0,3
1,6,8,8,10,50.0,5.0,1
1,5,2,2,2,87.0,9.0,3
6,9,1,1,1,130.0,15.0,4
2,3,1,1,304,45.0,5.0,2
4,13,18,17,21,87.0,6.0,3
2,13,67,25,90,25.0,5.0,2
1,8,7,7,7,150.0,20.0,3
1,25,31,29,37,20.0,5.0,1
1,3,4,4,4,90.0,10.0,2
1,2,2,2,2,34.0,4.0,1
1,7,4,4,4,250.0,20.0,4
1,4,4,4,18,55.0,7.0,1
2,13,4,4,4,40.0,7.0,1
1,1,2,2,2,155.0,15.0,3
2,5,2,2,2,140.0,11.0,3
1,2,4,4,4,193.0,22.0,3
1,4,4,4,4,20.0,5.0,1
1,3,4,4,4,95.0,10.0,3
3,17,6,6,9,29.0,6.0,1
1,17,2,2,2,135.0,12.0,3
1,17,7,7,7,125.0,10.0,3
1,12,14,14,5,75.0,8.0,2
2,1,2,2,2,220.0,20.0,4
7,7,37,34,166,90.0,8.0,3
1,18,5,5,14,125.0,15.0,3
1,10,8,8,10,68.0,8.0,3
1,12,4,4,4,290.0,15.0,3
1,1,56,20,14,20.0,5.0,1
3,16,58,50,136,150.0,8.0,3
1,1,4,4,4,105.0,15.0,3
1,10,1,1,15,25.0,4.0,1
1,11,5,5,14,35.0,5.0,1
3,17,2,2,2,116.0,15.0,3
1,12,5,5,29,115.0,12.0,3
1,17,5,5,14,90.0,11.0,3
2,11,9,9,11,144.0,20.0,4
6,1,31,29,37,20.0,3.0,1
3,16,46,42,56,45.0,3.0,1
1,18,4,4,4,45.0,5.0,1
6,8,4,4,4,60.0,7.0,1
1,17,4,4,4,245.0,20.0,4
1,5,48,25,59,40.0,6.0,1
1,8,7,7,7,125.0,15.0,3
1,1,1,1,1,65.0,5.0,1
6,23,7,7,7,115.0,14.0,3
1,8,19,18,22,60.0,6.0,2
1,6,18,17,21,80.0,8.0,2
6,1,97,18,14,45.0,8.0,2
3,1,5,5,29,80.0,10.0,2
1,10,2,2,2,200.0,15.0,3
2,5,1,1,1,53.0,7.0,2
1,5,4,4,4,260.0,22.0,4
1,3,4,4,4,95.0,10.0,3
3,7,3,3,3,40.0,6.0,2
1,13,8,8,10,81.0,10.0,3
1,15,19,18,22,65.0,5.0,2
1,8,18,17,21,60.0,6.0,2
1,22,2,2,2,90.0,12.0,3
1,11,5,5,43,150.0,14.0,3
1,12,1,1,16,85.0,12.0,3
1,3,7,7,7,150.0,15.0,3
1,18,4,4,4,242.0,23.0,4
2,13,26,25,40,190.0,7.0,4
6,3,2,2,2,80.0,8.0,3
1,17,2,2,2,77.0,10.0,2
1,8,5,5,27,100.0,12.0,3
1,20,2,2,2,126.0,10.0,3
1,10,8,8,10,83.0,10.0,3
1,4,5,5,5,85.0,9.0,3
6,22,2,2,2,45.0,9.0,2
1,11,5,5,43,75.0,8.0,2
1,5,2,2,2,96.0,10.0,3
1,8,10,10,42,20.0,5.0,1
5,13,2,2,2,155.0,13.0,3
2,11,9,9,33,30.0,6.0,1
5,16,5,5,14,125.0,16.0,3
2,17,26,25,63,103.0,9.0,3
1,2,4,4,4,150.0,17.0,3
1,6,7,7,7,130.0,15.0,3
6,8,1,1,16,85.0,12.0,3
3,16,2,2,2,248.0,25.0,4
1,17,44,40,53,33.0,5.0,1
2,3,5,5,27,140.0,10.0,3
1,11,1,1,14,79.0,11.0,1
1,6,4,4,4,240.0,20.0,4
1,6,8,8,10,55.0,7.0,2
1,5,187,25,131,40.0,5.0,2
1,2,4,4,4,81.0,12.0,3
1,5,4,4,4,225.0,18.0,4
5,18,1,1,82,90.0,10.0,2
5,8,5,5,5,10.0,9.0,2
2,2,81,70,62,144.0,13.0,2
1,4,4,4,28,60.0,9.0,2
3,7,4,4,4,175.0,20.0,3
1,7,4,4,4,195.0,16.0,4
1,1,16,10,20,55.0,6.0,1
3,1,5,5,29,105.0,4.0,2
1,7,7,7,7,90.0,10.0,3
1,2,4,4,4,114.0,11.0,3
1,15,4,4,4,140.0,15.0,3
2,17,1,1,1,144.0,9.0,3
4,13,4,4,4,168.0,20.0,3
1,8,18,17,21,90.0,12.0,3
6,17,24,23,26,51.0,8.0,2
1,2,4,4,4,131.0,20.0,3
1,5,2,2,2,104.0,10.0,3
1,8,4,4,28,25.0,5.0,1
1,9,4,4,4,83.0,14.0,3
1,9,4,4,4,121.0,16.0,3
1,3,2,2,14,93.0,5.0,3
3,7,19,18,22,30.0,3.0,1
1,6,1,1,16,50.0,5.0,1
2,3,6,6,30,125.0,10.0,3
1,2,4,4,4,159.0,17.0,3
1,6,2,2,8,70.0,6.0,2
1,11,5,5,43,110.0,12.0,2
7,6,46,42,263,80.0,15.0,3
1,5,2,2,2,84.0,10.0,2
1,8,5,5,27,30.0,5.0,1
1,4,2,2,2,125.0,12.0,2
1,11,5,5,27,130.0,11.0,3
1,11,6,6,14,60.0,8.0,1
1,2,2,2,2,175.0,20.0,3
3,7,37,34,14,95.0,10.0,3
1,12,5,5,5,120.0,15.0,3
1,11,2,2,14,170.0,21.0,3
1,13,4,4,4,189.0,19.0,4
2,17,24,23,26,30.0,3.0,1
1,7,5,5,5,45.0,6.0,2
3,1,20,19,23,50.0,5.0,1
1,13,24,23,26,72.0,8.0,2
1,14,4,4,4,135.0,20.0,3
2,17,11,11,13,93.0,7.0,2
1,10,8,8,10,86.0,9.0,3
1,3,4,4,4,170.0,15.0,3
3,16,5,5,27,120.0,15.0,3
1,10,5,5,27,20.0,4.0,1
3,7,75,63,100,50.0,4.0,2
1,5,2,2,2,78.0,10.0,3
3,5,2,2,2,295.0,14.0,4
1,7,5,5,43,20.0,5.0,1
3,7,2,2,2,120.0,18.0,3
1,13,10,10,12,95.0,12.0,3
1,8,6,6,30,30.0,5.0,1
2,1,1,1,1,75.0,8.0,2
3,16,4,4,18,44.0,9.0,2
3,16,1,1,70,185.0,11.0,3
1,3,4,4,4,145.0,15.0,3
1,22,4,4,4,50.0,10.0,2
2,11,4,4,4,95.0,16.0,3
1,17,2,2,2,83.0,8.0,3
1,1,45,41,27,40.0,5.0,1
2,5,16,10,20,50.0,7.0,1
1,5,2,2,2,113.0,18.0,3
1,18,4,4,4,25.0,8.0,1
1,13,4,4,4,54.0,7.0,1
1,18,5,5,5,100.0,10.0,3
3,7,10,10,14,55.0,6.0,2
2,3,5,5,29,70.0,5.0,2
3,7,37,34,28,20.0,5.0,1
1,6,4,4,18,30.0,5.0,1
1,3,6,6,30,75.0,10.0,2
2,3,72,60,104,150.0,15.0,3
1,11,6,6,14,50.0,10.0,1
1,13,4,4,4,231.0,20.0,4
1,15,4,4,4,110.0,20.0,3
1,11,5,5,14,40.0,8.0,1
1,8,187,5,424,90.0,10.0,3
1,6,4,4,4,115.0,17.0,3
1,13,8,8,10,67.0,9.0,2
1,13,2,2,2,165.0,16.0,3
1,3,2,2,2,95.0,5.0,2
2,7,37,34,166,85.0,10.0,3
1,5,7,7,7,87.0,11.0,3
1,1,5,5,27,65.0,5.0,2
1,3,4,4,4,40.0,5.0,1
1,9,4,4,4,194.0,25.0,3
1,11,5,5,27,90.0,11.0,3
4,5,16,10,20,20.0,2.0,1
1,10,1,1,16,135.0,16.0,3
1,8,5,5,5,105.0,12.0,3
1,3,19,18,22,25.0,5.0,2
3,7,10,10,14,90.0,10.0,3
2,4,4,4,4,80.0,12.0,3
2,11,13,13,17,35.0,4.0,2
2,7,53,47,71,20.0,3.0,1
6,12,48,25,59,15.0,1.0,1
1,6,5,5,27,25.0,6.0,1
1,5,31,29,37,38.0,5.0,2
1,17,4,4,4,70.0,12.0,2
1,1,24,23,26,60.0,10.0,1
1,2,7,7,7,54.0,5.0,2
5,6,53,47,71,20.0,5.0,1
1,4,2,2,8,55.0,7.0,2
7,12,26,25,40,55.0,6.0,3
